PtName,County,State,Pt_Own,OwType,Dam_Own,CH_MW,CH_MWh,CH_Pf,CH_OpYr,lat,lon,stream_gauge_id
Autrain,Alger,MI,Upper Peninsula Power Co,Investor-Owned Utility,Upper Peninsula Power Co,0.9,0,0,1910,46.3333015,-86.8499985,4044724
Cataract,Marquette,MI,Upper Peninsula Power Co,Investor-Owned Utility,Upper Peninsula Power Co,2,2427.47,13.85542237,1988,46.3160019,-87.5127029,4058100
Lower Paint,Iron,MI,Wisconsin Electric Power Co,Investor-Owned Utility,Wisconsin Electric Power Co,0.1,261,29.79452055,1952,46.0200005,-88.2617035,4062000
Crystal Falls,Iron,MI,City of Crystal Falls,Publicly Owned Utility,City of Crystal Falls,1,4919.59,56.1597032,1914,46.1066017,-88.3345032,4062000
Brule,Florence,WI,Wisconsin Electric Power Co,Investor-Owned Utility,Wisconsin Electric Power Co,5.3,15915.53,34.28002498,1919,45.9473991,-88.2186966,4062011
Pine,Florence,WI,Wisconsin Electric Power Co,Investor-Owned Utility,Wisconsin Electric Power Co,3.2,12014.18,42.85880422,1922,45.8283005,-88.2533035,4064500
Big Quinnesec Falls,Dickinson,MI,Wisconsin Electric Power Co,Investor-Owned Utility,Wisconsin Electric Power Co,16,93763.53,66.89749572,1949,45.7867012,-88.0417023,4066003
Old Quinnesec Falls,Dickinson,MI,Wisconsin Electric Power Co,Investor-Owned Utility,Wisconsin Electric Power Co,4.4,3893.53,10.10152034,1914,45.7867012,-88.0417023,4066003
Little Quinnesec Falls,Marinette,WI,NewPage Corporation,Private Non-utility,NewPage Corporation,9,54715,69.40005074,1900,45.7739983,-87.9889984,4066003
White Rapids,Menominee,MI,Wisconsin Electric Power Co,Investor-Owned Utility,Wisconsin Electric Power Co,9,32218.35,40.86548706,1927,45.4799995,-87.803299,4066030
Chalk Hill,Menominee,MI,Wisconsin Electric Power Co,Investor-Owned Utility,Wisconsin Electric Power Co,7.8,29905.65,43.76778188,1927,45.5136986,-87.8018036,4066030
Potato Rapids,Marinette,WI,Wisconsin Public Service Corp,Investor-Owned Utility,Wisconsin Public Service Corp,1.3,4073.12,35.76677204,1921,45.1144981,-87.7618027,4069500
Peshtigo,Marinette,WI,Wisconsin Public Service Corp,Investor-Owned Utility,Wisconsin Public Service Corp,0.584,3226,63.05904798,1920,45.0466995,-87.7450027,4069500
Stiles,Oconto,WI,Oconto Electric Cooperative,Cooperative,Oconto Electric Cooperative,1,4995.58,57.02716895,1949,44.8578987,-88.0535965,4071765
Oconto Falls,Oconto,WI,N E W Hydro Inc,Private Non-utility,N E W Hydro Inc,1.1,6581.37,68.2998132,1918,44.8767014,-88.146698,4071765
Oconto Falls Lower,Oconto,WI,N E W Hydro Inc,Private Non-utility,N E W Hydro Inc,2,7709.18,44.00216895,1971,44.8699989,-88.1433029,4071765
Sturgis,St Joseph,MI,City of Sturgis,Publicly Owned Utility,City of Sturgis,2.2,8410.82,43.64269406,1911,41.9667015,-85.5333023,4097500
Three Rivers,St Joseph,MI,Grande Pointe Power,Private Non-utility,Grande Pointe Power,0.9,3082,39.09183156,1918,41.9417,-85.625,4097500
Twin Branch,St Joseph,IN,Indiana Michigan Power Co,Investor-Owned Utility,Indiana Michigan Power Co,4.8,26302.06,62.55246385,1989,41.6666985,-86.1316986,4101225
South Bend,St Joseph,IN,"South Bend, City of",Private Non-utility,"South Bend, City of",0.05,275.7352941,62.95326349,0,41.6760941,-86.2461548,4101225
French Paper Hydro,Berrien,MI,French Paper Company,Industrial,French Paper Company,1.3,7642.62,67.11116965,1921,41.8181,-86.259201,4101500
Calkins Bridge,Allegan,MI,Consumers Energy Co,Investor-Owned Utility,Consumers Energy Co,2.6,13146,57.71865121,1935,42.5634003,-85.9533005,4108660
Moores Park,Ingham,MI,Lansing City of,Publicly Owned Utility,Lansing City of,1,952,10.86757991,1907,42.718399,-84.5607986,4113000
Croton,Newaygo,MI,Consumers Energy Co,Investor-Owned Utility,Consumers Energy Co,8.9,36345.53,46.61834949,1907,43.4216995,-85.8016968,4122001
Hodenpyl,Wexford,MI,Consumers Energy Co,Investor-Owned Utility,Consumers Energy Co,17,43534.06,29.2331856,1925,44.362999,-85.8199997,4124200
Tippy,Manistee,MI,Consumers Energy Co,Investor-Owned Utility,Consumers Energy Co,20.1,60218.35,34.20020332,1918,44.2583008,-85.9383011,4125550
Edison Sault,Chippewa,MI,Edison Sault Electric Co,Cooperative,Edison Sault Electric Co,41.8,176322.12,48.15333945,1901,46.4973869,-84.3320847,4127885
Mio,Oscoda,MI,Consumers Energy Co,Investor-Owned Utility,Consumers Energy Co,5,14228.94,32.48616438,1916,44.6609001,-84.1316986,4136500
Alcona,Alcona,MI,Consumers Energy Co,Investor-Owned Utility,Consumers Energy Co,8,27098.29,38.66765126,1924,44.5619011,-83.8041992,4137005
Foote,Iosco,MI,Consumers Energy Co,Investor-Owned Utility,Consumers Energy Co,9,29305.65,37.17104262,1918,44.4350014,-83.4400024,4137500
Cooke,Iosco,MI,Consumers Energy Co,Investor-Owned Utility,Consumers Energy Co,9,26008.53,32.98900304,1911,44.4724998,-83.571701,4137500
Five Channels,Iosco,MI,Consumers Energy Co,Investor-Owned Utility,Consumers Energy Co,6,23802.24,45.28584475,1912,44.4850006,-83.6817017,4137500
Barton Dam,Washtenaw,MI,"Ann Arbor, City of",Publicly Owned Utility,"Ann Arbor, City of",0.9,0,0,1985,42.3083,-83.754303,4174500
Auglaize Hydro,Defiance,OH,City of Bryan,Publicly Owned Utility,City of Bryan,3.6,9061.01,28.73227423,1986,41.2374001,-84.4000015,4191500
Rochester 2,Monroe,NY,Rochester Gas & Electric Corp,Investor-Owned Utility,Rochester Gas & Electric Corp,8.5,35386.82,47.52460381,1960,43.1612015,-77.6137009,4231600
Rochester 26,Monroe,NY,Rochester Gas & Electric Corp,Investor-Owned Utility, ,3,5634.545745,21.4,1952,43.1521988,-77.6098022,4231600
Seneca Falls,Seneca,NY,"C-S CANAL HYDRO, LLC",Investor-Owned Utility,"C-S CANAL HYDRO, LLC",8,19669.49,28.06719463,1917,42.9149017,-76.7871017,4232730
Waterloo,Seneca,NY,"C-S Canal Hydro, LLC",Private Non-utility,"C-S CANAL HYDRO, LLC",1.5,5200,39.5738204,1915,42.9019127,-76.8623276,4232730
Mill Street Dam,Cayuga,NY,"City of Auburn, NY",Publicly Owned Utility,"City of Auburn, NY",0.41,0,0,1981,42.9286003,-76.5594025,4235440
North Division Street,Cayuga,NY,"City of Auburn, NY",Publicly Owned Utility,"City of Auburn, NY",0.75,0,0,1992,42.9319992,-76.5851974,4235440
Minetto,Oswego,NY,Erie Boulevard Hydropower LP,Wholesale Power Marketer,Erie Boulevard Hydropower LP,10,34594.74,39.49171233,1915,43.3997993,-76.4723969,4249000
High Dam,Oswego,NY,Oswego City of,Publicly Owned Utility,Oswego City of,11.9,43546.18,41.77332029,1928,43.4432983,-76.495903,4249000
Bennetts Bridge,Oswego,NY,Erie Boulevard Hydropower LP,Wholesale Power Marketer,Erie Boulevard Hydropower LP,36,92975.87,29.48245497,1932,43.5444984,-75.9195023,4250200
Lighthouse Hill,Oswego,NY,Erie Boulevard Hydropower LP,Wholesale Power Marketer,Erie Boulevard Hydropower LP,8,18250.34,26.04215183,1930,43.5245018,-75.9705963,4250200
Adams,Jefferson,NY,"Trafalgar Power, Inc.",Private non-utility,"Trafalgar Power, Inc.",0.387,0,0,1987,43.8069,-76.0189972,4250750
Forestport,Oneida,NY,Trafalgar Power Inc,Private Non-utility,Trafalgar Power Inc,3.4,11135.53,37.38762423,1987,43.4403,-75.2061996,4252500
Kayuta,Oneida,NY,"AMPERSAND KAYUTA LAKE HYDRO, LLC",Private non-utility,"AMPERSAND KAYUTA LAKE HYDRO, LLC",0.4,2000,57.07762557,1984,43.4231987,-75.2077026,4252500
Effley,Lewis,NY,Erie Boulevard Hydropower LP,Wholesale Power Marketer,Erie Boulevard Hydropower LP,3,15113.02,57.50768645,1902,43.9227982,-75.2776031,4258000
Soft Maple,Lewis,NY,Erie Boulevard Hydropower LP,Wholesale Power Marketer,Erie Boulevard Hydropower LP,16,37188.75,26.53306935,1925,43.9191017,-75.242897,4258000
Eagle,Lewis,NY,Erie Boulevard Hydropower LP,Wholesale Power Marketer,Erie Boulevard Hydropower LP,6,31039.47,59.05530822,1914,43.9017982,-75.1948013,4258000
Moshier,Herkimer,NY,Erie Boulevard Hydropower LP,Wholesale Power Marketer,Erie Boulevard Hydropower LP,8,37400.22,53.36789384,1929,43.8876991,-75.1098022,4258000
Elmer,Lewis,NY,Erie Boulevard Hydropower LP,Wholesale Power Marketer,Erie Boulevard Hydropower LP,2,10394.3,59.32819635,1916,43.9272995,-75.2886963,4258000
Taylorville,Lewis,NY,Erie Boulevard Hydropower LP,Wholesale Power Marketer,Erie Boulevard Hydropower LP,4,22958.78,65.52163242,1913,43.9277992,-75.3116989,4258000
Belfort,Lewis,NY,Erie Boulevard Hydropower LP,Wholesale Power Marketer,Erie Boulevard Hydropower LP,2,10491.39,59.88236301,1903,43.9275017,-75.3320007,4258000
High Falls,Lewis,NY,Erie Boulevard Hydropower LP,Wholesale Power Marketer,Erie Boulevard Hydropower LP,6,29031.36,55.2347032,1925,43.9248009,-75.373497,4258000
Stillwater Reservoir Hydro,Herkimer,NY,Stillwater Associates,Private Non-utility,Stillwater Associates,1.8,5728,36.3267377,1987,43.8995018,-75.0522995,4258000
Browns Falls,St. Lawrence,NY,Erie Boulevard Hydropower LP,Wholesale Power Marketer,Erie Boulevard Hydropower LP,16,53435.36,38.12454338,1923,44.2126999,-75.0370026,4262000
Flat Rock,St. Lawrence,NY,Erie Boulevard Hydropower LP,Wholesale Power Marketer,Erie Boulevard Hydropower LP,5,17721,40.45890411,1924,44.2215004,-75.0737991,4262000
Newton Falls Upper,St. Lawrence,NY,"Erie Boulevard Hydropower, LP",Wholesale Power Marketer,"Erie Boulevard Hydropower, LP",1.5,6663.33,50.71027397,1927,44.2146988,-74.9869003,4262000
Newton Falls Lower,St. Lawrence,NY,"Erie Boulevard Hydropower, LP",Wholesale Power Marketer,"Erie Boulevard Hydropower, LP",0.68,2909.90991,48.85022008,1927,44.212101,-74.9989014,4262000
Cranberry Lake,St. Lawrence,NY,"AMPERSAND CRANBERRY LAKE HYDRO, LLC",Wholesale Power Marketer,"AMPERSAND CRANBERRY LAKE HYDRO, LLC",0.595,2356,45.2016423,1987,44.2206001,-74.8482971,4262000
St. Regis Falls,Franklin,NY,Azure Mountain Power Company,Private Non-utility,Azure Mountain Power Company,0.8,3000,42.80821918,1993,44.6724014,-74.5446014,4269000
High Falls,Clinton,NY,New York State Elec & Gas Corp,Investor-Owned Utility,New York State Elec & Gas Corp,15,87619.94,66.6818417,1948,44.6273003,-73.7578964,4273500
Cadyville,Clinton,NY,New York State Elec & Gas Corp,Investor-Owned Utility,New York State Elec & Gas Corp,5.5,28168.12,58.46434205,1921,44.6968002,-73.6278,4273500
Mill C,Clinton,NY,New York State Elec & Gas Corp,Investor-Owned Utility,New York State Elec & Gas Corp,6,26892.12,51.16461187,1943,44.6959991,-73.6136017,4273500
Kent Falls,Clinton,NY,New York State Elec & Gas Corp,Investor-Owned Utility,New York State Elec & Gas Corp,12.4,60398.47,55.60324606,1928,44.7018013,-73.6053009,4273500
Lower Saranac Hydroelectric Facility,Clinton,NY,Lower Saranac Hydro Partner LP,Private Non-utility,Lower Saranac Hydro Partner LP,6.7,28575.19,48.68668643,1990,44.6693001,-73.5077972,4273500
Wadhams,Essex,NY,"8 CHURCH LANE, LLC.",Private Non-utility,"8 CHURCH LANE, LLC.",0.56,0,0,1979,44.2303009,-73.4611969,4276500
Carver Falls,Rutland,VT,Central Vermont Pub Serv Corp,Investor-Owned Utility,Central Vermont Pub Serv Corp,1.9,6862.35,41.23017304,1922,43.6273003,-73.3069992,4280000
Center Rutland,Rutland,VT,Green Mountain Power Corp,Investor-Owned Utility,Green Mountain Power Corp,0.3,0,0,1898,43.6029015,-73.0127029,4282000
Glen,Rutland,VT,Central Vermont Pub Serv Corp,Investor-Owned Utility,Central Vermont Pub Serv Corp,2,7285.24,41.58242009,1920,43.6495094,-72.9535675,4282000
Patch,Rutland,VT,Central Vermont Pub Serv Corp,Investor-Owned Utility,Central Vermont Pub Serv Corp,0.4,0,0,1921,43.6300049,-72.9851837,4282000
Pittsford,Rutland,VT,Central Vermont Pub Serv Corp,Investor-Owned Utility,Central Vermont Pub Serv Corp,3.6,9282.82,29.43562912,1914,43.7231216,-72.9232559,4282000
North Branch 3,Washington,VT,Washington Electric Coop Inc,Cooperative,Washington Electric Coop Inc,1,2800.82,31.97283105,1985,44.3096008,-72.5752029,4285500
Ladd's Mill,Washington,VT,"Worcester Hydro Company, Inc.",Private Non-utility,"Worcester Hydro Company, Inc.",0.187,735,44.8685078,1986,44.3722992,-72.5457001,4285500
Waterbury 22,Washington,VT,Green Mountain Power Corp,Investor-Owned Utility,Green Mountain Power Corp,5.5,15470.24,32.10925695,1953,44.3821983,-72.7698975,4289000
Essex Junction 19,Chittenden,VT,Green Mountain Power Corp,Investor-Owned Utility,Green Mountain Power Corp,8,37758.61,53.87929509,1917,44.4822006,-73.1147995,4290500
Fairfax Falls,Franklin,VT,Central Vermont Pub Serv Corp,Investor-Owned Utility,Central Vermont Pub Serv Corp,3.5,23000.65,75.01842792,1919,44.6511993,-72.9906998,4292500
Woodside,Lamoille,VT,Mr. & Mrs. Robert M. Woodside,Private Non-utility,Mr. & Mrs. Robert M. Woodside,0.125,0,0,1987,44.6320992,-72.6276016,4292500
Troy Hydroelectric Project,Orleans,VT,Troy Mills Hydroelectric,Private Non-utility,Troy Mills Hydroelectric,0.85,1500,20.14504432,2013,44.9168587,-72.3964767,4293000
Highgate Falls,Franklin,VT,Village of Swanton,Publicly Owned Utility,Village of Swanton,11.1,45937.18,47.24297585,1923,44.9339981,-73.0479965,4294000
Sheldon Springs Hydroelectric,Franklin,VT,"Sheldon Vermont Hydro Co., Inc.",Private Non-utility,"Sheldon Vermont Hydro Co., Inc.",25.2,74107.49,33.57047275,1988,44.9109001,-72.973999,4294000
International Falls Power,Koochichin,MN,Boise White Paper LLC,Industrial,Boise White Paper LLC,14.2,50021.65,40.21291562,1924,48.5999985,-93.4000015,5129515
Bemidji Hydro,Beltrami,MN,Otter Tail Power Co,Investor-Owned Utility,Otter Tail Power Co,0.74,586,9.03986178,1953,47.4835739,-94.7298431,5200510
Grand Rapids,Itasca,MN,Minnesota Power Inc,Investor-Owned Utility,Minnesota Power Inc,1.9,6797.75,40.84204518,1943,47.2317009,-93.5299988,5211000
Brainerd,Crow Wing,MN,City of Brainerd & Pub Utilities Com.,Publicly Owned Utility,City of Brainerd & Pub Utilities Com.,2.9,15141.71,59.6036451,1917,46.3778992,-94.1830978,5242300
Sylvan,Morrison,MN,Minnesota Power Inc,Investor-Owned Utility,Minnesota Power Inc,1.8,10335.05,65.54445713,1913,46.3050003,-94.3783035,5247500
Pillager,Morrison,MN,Minnesota Power Inc,Investor-Owned Utility,Minnesota Power Inc,1.6,9510.53,67.85480879,1917,46.3149986,-94.4850006,5247500
Blanchard,Morrison,MN,Minnesota Power Inc,Investor-Owned Utility,Minnesota Power Inc,18,90475.59,57.37924277,1925,45.8600006,-94.3582993,5267000
St. Cloud,Stearns,MN,"St Cloud, City of",Publicly Owned Utility,"St Cloud, City of",8.64,42311,55.90304203,1988,45.5475998,-94.1473007,5270700
Black Brook Dam,Polk,WI,Flambeau Hydro LLC,Private non-utility,Flambeau Hydro LLC,0.65,0,0,1982,45.2639999,-92.2639999,5341752
River Falls,Pierce,WI,City of River Falls,Publicly Owned Utility,City of River Falls,0.2,1436.25,81.97773973,1948,44.8552208,-92.6342392,5342000
Powell Falls,Pierce,WI,City of River Falls,Publicly Owned Utility,City of River Falls,0.125,0,0,1948,44.7999992,-92.6333008,5342000
Byllesby,Dakota,MN,Neshkoro Power Assn,Private Non-utility,Neshkoro Power Assn,2.5,11426.76,52.1769863,1988,44.5167007,-92.9332962,5355092
Thornapple,Rusk,WI,Northern States Power Co - Minnesota,Investor-Owned Utility,Northern States Power Co - Minnesota,1.4,8237.76,67.1702544,1927,45.4107018,-91.2166977,5360500
Menomonie,Dunn,WI,Northern States Power Co,Investor-Owned Utility,Northern States Power Co,5.4,23315.71,49.2890876,1958,44.8838005,-91.9298019,5369000
Cedar Falls,Dunn,WI,Northern States Power Co - Minnesota,Investor-Owned Utility,Northern States Power Co - Minnesota,6,34016.53,64.71942542,1910,44.9357986,-91.8889008,5369000
Neshonoc,La Crosse,WI,North American Hydro Inc,Private Non-utility,North American Hydro Inc,0.425,2100,56.40612409,1995,43.9166985,-91.0667038,5383075
Merrill,Lincoln,WI,Wisconsin Public Service Corp,Investor-Owned Utility,Wisconsin Public Service Corp,2.3,8220.29,40.79953345,1917,45.178299,-89.6866989,5395000
Kilbourn,Columbia,WI,Wisconsin Power & Light Co,Investor-Owned Utility,Wisconsin Power & Light Co,9.7,53049.29,62.43149508,1926,43.626812,-89.7812271,5404000
Maquoketa,Jackson,IA,North American Hydro Inc,Private Non-utility,North American Hydro Inc,1.2,5660.06,53.84379756,1924,42.0702133,-90.6979828,5418500
Anamosa,Jones,IA,Interstate Power and Light,Private Non-utility,Interstate Power and Light,0.25,1515,69.17808219,1990,42.1032982,-91.2917023,5421740
Dunkirk,Dane,WI,Stoughton City of,Publicly Owned Utility,Stoughton City of,2,1000,5.707762557,2002,42.8800011,-89.2099991,5430175
Janesville,Rock,WI,Midwest Hydro LLC,Investor-Owned Utility,Midwest Hydro LLC,0.5,2030,46.34703196,1927,42.6817017,-89.021698,5430500
Dixon,Lee,IL,STS Hydropower Ltd,Private Non-utility,STS Hydropower Ltd,3,13889.43,52.85171233,1925,41.8462982,-89.4810028,5442300
Upper Sterling,Whiteside,IL,City of Rock Falls,Publicly Owned Utility,City of Rock Falls,2.2,6850.12,35.54441677,1988,41.75,-89.6667023,5443500
Clarence Cannon,Ralls,MO,USCE-St Louis District,USACE,USCE-St Louis District,27,38067,16.09462202,1984,39.5244179,-91.6439438,5507800
Wisconsin Noble,Madison,MT,Wisconsin-Noble Limited Partnership,Private Non-utility,Wisconsin-Noble Limited Partnership,0.5,1800,41.09589041,1990,45.5167007,-112.1345978,6023000
North Willow Creek Diversion,Madison,MT,Gerald and Glenda Ohs,Private Non-utility,Gerald and Glenda Ohs,0.4,2720,77.62557078,1988,45.6413994,-111.9190979,6035000
Madison,Madison,MT,Northwestern Coporation,Wholesale Power Marketer,Northwestern Coporation,8.8,61051.59,79.19726806,1906,45.4700012,-111.6373978,6040800
Tiber,Liberty,MT,Tiber Montana LLC,Private Non-utility,U S Bureau of Reclamation,7.5,49854.15,75.88150685,2004,48.3199997,-111.0901031,6101500
Cascade Creek,Park,MT,James Walker Sievers,Private Non-utility,James Walker Sievers,0.075,361.5,55.02283105,1983,45.4698982,-110.5571976,6192500
Barney Creek,Park,MT,James Walker Sievers,Private Non-utility,James Walker Sievers,0.068,350,58.75637926,1985,45.480999,-110.5483017,6192500
Strawberry Creek,Park,MT,South Dry Creek Partnership,Private Non-utility,South Dry Creek Partnership,0.275,1200,49.8132005,1987,45.4371986,-110.5710983,6192500
Pine Creek,Park,MT,Allen Rae Carter,Private Non-utility,Allen Rae Carter,0.373,0,0,1988,45.5021019,-110.5379028,6192500
Mystic Lake,Stillwater,MT,Northwestern Coporation,Wholesale Power Marketer,Northwestern Coporation,12,50622.18,48.15656393,1925,45.2252998,-109.7593002,6204070
Yellowtail,Big Horn,MT,Reclamation Great Plains Region (GP),Reclamation,Reclamation Great Plains Region (GP),268.8,693236.41,29.44069066,1966,45.3074074,-107.9575119,6287000
Spearfish Intake Dam (Savoy),Lawrence,SD,Homestake Mining Company,Industrial,Homestake Mining Company,2,0,0,0,44.3429985,-103.9213028,6431500
Hillcrest Pump Station,Denver,CO,Denver City & County of,Publicly Owned Utility,Denver City & County of,2,4828.97,27.56261416,1993,39.6411018,-104.9134979,6713500
Cabin Creek,Clear Creek,CO,Public Service Co of Colorado,Investor-Owned Utility,Public Service Co of Colorado,0,0,0,0,39.6500015,-105.7189026,6714500
Shoshone,Garfield,CO,Public Service Co of Colorado,Investor-Owned Utility,Public Service Co of Colorado,14.4,71327,56.54410832,1909,39.7592163,-105.6605453,6716100
Kohler Powerhouse,Boulder,CO,City of Boulder,Publicly Owned Utility,City of Boulder,0.15,770,58.59969559,1986,40.0332985,-105.3167038,6727500
Orodell Powerhouse,Boulder,CO,City of Boulder,Publicly Owned Utility,City of Boulder,0.225,1160,58.85337392,1987,40.1666985,-105.1500015,6730525
Flatiron,Larimer,CO,Reclamation Great Plains Region (GP),Reclamation,Reclamation Great Plains Region (GP),86,187877.83,24.93865217,1954,40.3649979,-105.2360306,6741510
Big Thompson,Larimer,CO,Reclamation Great Plains Region (GP),Reclamation,Reclamation Great Plains Region (GP),4.5,6869,17.42516489,1959,40.421032,-105.2238007,6741510
Loveland,Larimer,CO,City of Loveland,Publicly Owned Utility,City of Loveland,0.9,0,0,1983,40.4286995,-105.3118973,6741510
Columbus,Platte,NE,Loup River Public Power Dist,Publicly Owned Utility,Loup River Public Power Dist,45.6,124393.82,31.1408065,1936,41.4832993,-97.3666992,6796000
Niangua,Camden,MO,Sho-Me Power Electric Coop,Cooperative,Sho-Me Power Electric Coop,3,3319.06,12.62960426,1930,37.9383011,-92.8516998,6923950
Osage,Miller,MO,Union Electric Co,Investor-Owned Utility,Union Electric Co,208,548936.71,30.12692692,1931,38.2030983,-92.6248016,6926000
Taum Sauk,Reynolds,MO,Ameren Missouri,Investor-Owned Utility,Ameren Missouri,0,0,0,0,37.5332985,-90.8167038,7061290
Sugarloaf Hydro Plant,Lake,CO,STS Hydropower Ltd,Private Non-utility,U S Bureau of Reclamation,2.5,4931.76,22.51945205,1985,39.2527008,-106.3748016,7083710
Ruxton Park,"El Paso, Teller",CO,Colorado Springs City of,Publicly Owned Utility,Colorado Springs City of,1,734.82,8.388356164,1925,38.8333015,-104.9666977,7103700
Manitou Springs,"El Paso, Teller",CO,Colorado Springs City of,Publicly Owned Utility,Colorado Springs City of,5.6,15668.35,31.93972195,1927,38.8333015,-104.9666977,7103700
Tesla,El Paso,CO,Colorado Springs City of,Publicly Owned Utility,Colorado Springs City of,26.6,64528.12,27.69257047,1997,38.9791985,-104.9586029,7103800
Salina,Mayes,OK,Grand River Dam Authority,State,Grand River Dam Authority,0,0,0,0,36.2661018,-95.1055984,7191500
Tenkiller Ferry,Sequoyah,OK,USCE-Tulsa District,USACE,USCE-Tulsa District,39,102435.18,29.98336846,1953,35.5969582,-95.0494232,7198000
Murray,Pulaski,AR,City of North Little Rock,Publicly Owned Utility,CESWL,45.4,104680.38,26.32117856,1988,34.7943001,-92.3578033,7263450
Lewisville,Denton,TX,City of Garland,Publicly Owned Utility,CESWF,2.8,4161.06,16.96453033,1992,33.0681992,-96.9639969,8053000
Canyon,Comal,TX,Guadalupe Blanco River Auth,State,CESWF,6,9689.28,18.4347032,1989,29.8701,-98.1948013,8167800
H 4,Gonzales,TX,Guadalupe Blanco River Auth,State,Guadalupe Blanco River Auth,2.4,7560.03,35.9590468,1931,29.4958744,-97.624588,8169845
Gonzales Hydro Plant,Gonzales,TX,City of Gonzales,Publicly Owned Utility,City of Gonzales,0.9,1915.983667,14.58130645,1984,29.4967995,-97.4549026,8173900
Elephant Butte,Sierra,NM,Reclamation Upper Colorado Region (UC),Reclamation,Reclamation Upper Colorado Region (UC),27.9,41525.24,16.99040932,1940,33.1533585,-107.1919708,8361000
Williams Fork Hydro Plant,Grand,CO,Denver City & County of,Publicly Owned Utility,Denver City & County of,3.5,7195.21,23.46774299,1959,40.0353012,-106.2050018,9038500
Dillon Hydro Plant,Summit,CO,Denver City & County of,Publicly Owned Utility,Denver City & County of,1.8,7948.56,50.40943683,1987,39.6207008,-106.0662003,9050700
Green Mountain,Summit,CO,Reclamation Great Plains Region (GP),Reclamation,Reclamation Great Plains Region (GP),26,49020.82,21.52301545,1943,39.8788071,-106.3327255,9057500
Woods Lake,Eagle,CO,Woods Lake Hydro,Private Non-utility,Woods Lake Hydro,0.045,262.8,66.66666667,1937,39.4339981,-106.6135025,9079450
Ruedi,Eagle,CO,City of Aspen,Publicly Owned Utility,U S Bureau of Reclamation,5,15211.18,34.72872146,1985,39.3623009,-106.8212967,9080400
Zilm Powerhouse,Garfield,CO,Charlotte B. and William M. Zilm,Private Non-utility,Charlotte B. and William M. Zilm,0.02,0,0,0,39.4229012,-107.3041992,9085000
Grand Valley,Mesa,CO,Grand Valley Water Users Association,Publicly Owned Utility, ,3,19350.6,73.63242009,1938,39.1013908,-108.345726,9106150
Crystal,Montrose,CO,Reclamation Upper Colorado Region (UC),Reclamation,Reclamation Upper Colorado Region (UC),28,141485.76,57.68336595,1978,38.5105743,-107.6253357,9128000
Ouray,Ouray,CO,Colorado-Ute Electric Assn Inc,Cooperative,Colorado-Ute Electric Assn Inc,0.75,4303.4,65.50076104,0,38.0084,-107.6644974,9146020
Fontenelle,Lincoln,WY,Reclamation Upper Colorado Region (UC),Reclamation,Reclamation Upper Colorado Region (UC),10,50392.18,57.52531963,1968,42.0270119,-110.0639725,9211200
Stagecoach,Routt,CO,Upper Yampa Water Conservancy District,Publicly Owned Utility,Upper Yampa Water Conservancy District,0.8,4260,60.78767123,1989,40.285099,-106.8305969,9237500
Vallecito,La Plata,CO,"Ptarmigan Resources & Energy, Inc.",Private Non-utility,U S Bureau of Reclamation,5.8,16074.58,31.63789167,1989,37.3717995,-107.5793991,9353800
Mayflower Mill Hydro Project,San Juan,CO,San Juan County Historical Society,Publicly Owned Utility, ,0.011,80,83.02200083,2014,37.8282967,-107.6281509,9358000
Glen Canyon,Coconino,AZ,Reclamation Upper Colorado Region (UC),Reclamation,Reclamation Upper Colorado Region (UC),1312,3775903.65,32.85359981,1964,36.936615,-111.4838715,9380000
Gunlock Hydro,Washington,UT,City of St George,Publicly Owned Utility,City of St George,0.372,0,0,1987,37.2500191,-113.7783813,9410100
Sand Cove,Washington,UT,PacifiCorp,Investor-Owned Utility,PacifiCorp,0.8,318,4.537671233,1920,37.2808495,-113.7279205,9410100
Gunlock,Washington,UT,PacifiCorp,Investor-Owned Utility,PacifiCorp,0.75,372,5.662100457,1920,37.2858086,-113.758606,9410100
Horizon Ridge,Clarke,NV,Southern Nevada Water Authority,Cooperative,Southern Nevada Water Authority,0.671,3515,59.79965838,2005,36.0030327,-115.0909653,9419749
Davis,Mohave,AZ,Reclamation Lower Colorado Region (LC),Reclamation,Reclamation Lower Colorado Region (LC),254.8,1126405.47,50.46510962,1951,35.1970444,-114.5706711,9423000
Parker,San Bernardino,CA,Reclamation Lower Colorado Region (LC),Reclamation,Reclamation Lower Colorado Region (LC),120,444049.29,42.24213185,1942,34.2953339,-114.1402206,9427520
Crosscut,Maricopa,AZ,Salt River Valley Water User's Association,Publicly Owned Utility, ,3,2821.753333,10.73726535,1939,33.4391861,-111.9458847,9512165
Siphon Drop,IMPERIAL,CA,Yuma County Water User's Association,Cooperative, ,4.4,15429.78,40.03160025,1987,32.7789841,-114.6344376,9521100
Hydro II,Cache,UT,City of Logan,Publicly Owned Utility,City of Logan,6.6,19567.74,33.84485264,1986,41.7443008,-111.7521973,10108400
Hydro III,Cache,UT,City of Logan,Publicly Owned Utility,City of Logan,1.4,4681.43,38.17212981,1925,41.7531013,-111.7232971,10108400
DeWitt Pipeline Hydroelectric Project,Cache,UT,"Logan City, Utah",Publicly Owned Utility, ,0.2,930,53.08219178,0,41.7449799,-111.7875519,10109001
Hyrum,Cache,UT,Hyrum City Corporation,Publicly Owned Utility,Hyrum City Corporation,0.5,0,0,1931,41.6272011,-111.6781006,10113500
